Dish,Serving Size,Preparation Time (minutes),Cooking Time (minutes),Source
Paneer Butter Masala,3,10,20,https://rakskitchen.net/paneer-butter-masala-recipe-how-to-make-paneer-butter-masala/#recipe
Paneer Butter Masala,4,11,25,https://harpalssokhi.com/recipe/dhaba-paneer-butter-masala-%E0%A4%A2%E0%A4%BE%E0%A4%AC%E0%A4%BE-%E0%A4%AA%E0%A4%A8%E0%A5%80%E0%A4%B0-%E0%A4%AC%E0%A4%9F%E0%A4%B0-%E0%A4%AE%E0%A4%B8%E0%A4%BE%E0%A4%B2%E0%A4%BE-paneer-makhani-pane/
Paneer Butter Masala,5,11,40,https://hebbarskitchen.com/paneer-butter-masala-recipe/
Paneer Butter Masala,6,12,40,https://myfoodstory.com/restaurant-style-paneer-butter-masala-recipe/#wprm-recipe-container-11355
Aloo Gobi,2,10,25,https://www.indianhealthyrecipes.com/aloo-gobi/
Aloo Gobi,4,10,30,https://www.indianhealthyrecipes.com/aloo-gobi/
Aloo Gobi,6,15,30,https://www.indianhealthyrecipes.com/aloo-gobi/
Aloo Gobi,8,15,35,https://www.indianhealthyrecipes.com/aloo-gobi/
Chicken Curry,3,15,35,https://www.indianhealthyrecipes.com/chicken-curry/#wprm-recipe-container-38246
Chicken Curry,4,17,25,https://www.allrecipes.com/recipe/46822/indian-chicken-curry-ii/
Chicken Curry,6,20,40,https://www.allrecipes.com/recipe/212721/indian-chicken-curry-murgh-kari/
Chicken Curry,8,25,40,https://www.allrecipes.com/recipe/46822/indian-chicken-curry-ii/
Fish Curry,2,10,20,https://vegecravings.com/paneer-butter-masala-recipe/
Fish Curry,4,10,25,https://vegecravings.com/paneer-butter-masala-recipe/
Fish Curry,6,15,25,https://vegecravings.com/paneer-butter-masala-recipe/
Fish Curry,8,15,30,https://vegecravings.com/paneer-butter-masala-recipe/
